timestamp,src_ip,dst_ip,protocol,size
1776062466.9574218,52.114.113.249,10.52.3.136,17,118
1776062466.9579208,52.114.113.249,10.52.3.136,17,114
1776062466.9582937,52.114.113.249,10.52.3.136,17,114
1776062466.9586377,52.114.113.249,10.52.3.136,17,154
1776062466.9613335,52.114.113.249,10.52.3.136,17,116
1776062467.0467477,10.52.3.136,104.208.16.95,6,167
1776062467.0473015,10.52.3.136,104.208.16.95,6,1494
1776062467.0477111,10.52.3.136,104.208.16.95,6,1441
1776062467.0663352,52.114.113.249,10.52.3.136,17,120
1776062467.0667098,52.114.113.249,10.52.3.136,17,120
1776062467.0670686,52.114.113.249,10.52.3.136,17,79
1776062467.191448,10.52.3.136,52.114.113.249,17,158
1776062467.204284,10.52.2.179,239.255.255.250,17,167
1776062467.2386732,10.52.3.34,10.52.63.255,17,86
1776062467.3657923,52.114.113.249,10.52.3.136,17,114
1776062467.366257,104.208.16.95,10.52.3.136,6,60
1776062467.3733635,52.114.113.249,10.52.3.136,17,174
1776062467.4687834,104.208.16.95,10.52.3.136,6,162
1776062467.4769518,52.114.113.249,10.52.3.136,17,174
1776062467.477319,52.114.113.249,10.52.3.136,17,86
1776062467.4777677,52.114.113.249,10.52.3.136,17,1262
1776062467.4781547,52.114.113.249,10.52.3.136,17,1262
1776062467.50897,10.52.3.136,104.208.16.95,6,54
1776062467.5704718,10.52.3.136,52.114.113.249,17,158
1776062467.582324,52.114.113.249,10.52.3.136,17,174
1776062467.7258778,10.52.3.136,52.114.113.249,17,158
1776062467.7265491,10.52.3.136,52.114.113.249,17,158
1776062467.73163,10.52.3.136,52.114.113.249,17,242
1776062467.7343206,52.114.113.249,10.52.3.136,17,114
1776062467.7425215,10.52.3.5,224.0.0.251,17,100
1776062467.8304784,10.52.3.136,52.114.113.249,17,98
1776062467.8310156,10.52.3.136,52.114.113.249,17,1274
1776062467.8314521,10.52.3.136,52.114.113.249,17,1274
1776062467.8318691,10.52.3.136,52.114.113.249,17,1274
1776062467.832312,10.52.3.136,52.114.113.249,17,1274
1776062467.83999,52.114.113.249,10.52.3.136,17,114
1776062467.8404548,52.114.113.249,10.52.3.136,17,114
1776062468.2743583,10.52.3.136,66.102.1.188,6,55
1776062468.2953656,10.52.2.123,224.0.0.251,17,103
1776062468.3329916,10.52.3.136,52.114.113.249,17,182
1776062468.423826,10.52.3.136,52.114.113.249,17,158
1776062468.4334524,66.102.1.188,10.52.3.136,6,66
1776062468.5943809,52.114.113.249,10.52.3.136,17,114
1776062468.7950428,10.52.3.136,52.114.113.249,17,158
1776062468.8114586,10.52.2.44,224.0.0.251,17,107
1776062468.8252122,10.52.2.155,224.0.0.251,17,87
1776062468.901603,10.52.3.136,52.114.113.249,17,158
1776062468.9020813,10.52.3.136,52.114.113.249,17,158
1776062468.9024732,52.114.113.249,10.52.3.136,17,114
1776062469.0049517,52.114.113.249,10.52.3.136,17,114
1776062469.0053473,52.114.113.249,10.52.3.136,17,114
1776062469.1077569,52.114.113.249,10.52.3.136,17,102
1776062469.311531,52.114.113.249,10.52.3.136,17,102
1776062469.5187216,52.114.113.249,10.52.3.136,17,102
1776062469.6555912,10.52.3.136,52.114.113.249,17,158
1776062469.7216814,52.114.113.249,10.52.3.136,17,102
1776062469.8217149,10.52.3.136,172.64.155.209,6,1454
1776062469.822916,10.52.3.136,172.64.155.209,6,1454
1776062469.8234158,10.52.3.136,172.64.155.209,6,1454
1776062469.8239303,10.52.3.136,172.64.155.209,6,1454
